水污染物综合排放标准(DB11 307-2013),水污染物综合排放标准,DB11/307-2013
固定式燃气轮机大气污染物排放标(DB11/847-2011),固定式燃气轮机大气污染物排放标准,DB11/847-2011
锅炉大气污染物排放标准(DB11/139-2015),锅炉大气污染物排放标准,DB11/139-2015
锅炉大气污染物排放标准(DB11 139-2015),锅炉大气污染物排放标准,DB11/139-2015
城镇污水处理厂水污染物排放标准(DB11/890-2012),城镇污水处理厂水污染物排放标准,DB11/890-2012
城镇污水处理厂水污染物排放标准(DB11 890-2012),城镇污水处理厂水污染物排放标准,DB11/890-2012
水污染物综合排放标准(DB11/307-2005),水污染物综合排放标准,DB11/307-2005
北京卢南污水运营有限责任公司特许服务协议,北京卢南污水运营有限责任公司特许服务协议,
水污染物综合排放标准(DB11/307-2013),水污染物综合排放标准,DB11/307-2013
电子工业大气污染物排放标准DB11/1631-2019,电子工业大气污染物排放标准,DB11/1631-2019
城镇污水处理厂水污染物排放标准( DB11/890-2012 ),城镇污水处理厂水污染物排放标准,DB11/890-2012
水污染物综合排放标准( DB11/307-2013 ),水污染物综合排放标准,DB11/307-2013
危险废物焚烧大气污染物排放标准( DB11/503-2007 ),危险废物焚烧大气污染物排放标准,DB11/503-2007
城镇污水处理厂污染物排放标准( GB 18918-2002 ),城镇污水处理厂污染物排放标准,GB 18918-2002
城镇污水处理厂污染物排放标准(GB 18918-2002),城镇污水处理厂污染物排放标准,GB 18918-2002
电子工业大气污染物排放标准（DB11/ 1631-2019）,电子工业大气污染物排放标准,DB11/1631-2019
危险废物焚烧大气污染物排放标准(DB11 503-2007),危险废物焚烧大气污染物排放标准,DB11/503-2007
排口1废水执行《地表水环境质量标准》（GB3838-2002）Ⅲ类标准，总氮执行《北京市环保局关于顺义温榆河水资源利用工程地表水总氮指标意见的函》中的标准。,地表水环境质量Ⅲ类标准,GB 3838-2002
地表水环境质量标准（GB3838-2002）Ⅳ类标准（总磷以湖、库计）,地表水环境质量Ⅳ类标准,GB 3838-2002
大气污染物综合排放标准DB11/ 501—2017,大气污染物综合排放标准,DB11/ 501-2017
大气污染综合排放标准DB11/501-2017,大气污染物综合排放标准,DB11/ 501-2017
北京市地方标准水泥工业大气污染物排放标准,水泥工业大气污染物排放标准,DB11/1054-2013
锅炉大气污染物排放标准(DB11/139-2007),锅炉大气污染物排放标准,DB11/139-2007
北京市水污染物综合排放标准DB11/307-2013,水污染物综合排放标准,DB11/307-2013
北京市电子工业大气污染物排放标准（DB11/1631-2019）,电子工业大气污染物排放标准,DB11/1631-2019
工业涂装工序大气污染物排放标准DB111226-2015,工业涂装工序大气污染物排放标准,DB11/1226-2015
浓度限值执行《工业涂装工序大气污染物排放标准》（DB11/1226-2015）表1限值,工业涂装工序大气污染物排放标准,DB11/1226-2015
炼油与石油化学工业大气污染物排放标准(DB11 447-2015),炼油与石油化学工业大气污染物排放标准,DB11/447-2015
炼油与石油化学工业大气污染物排放标准(DB11/447-2015),炼油与石油化学工业大气污染物排放标准,DB11/447-2015
水泥工业大气污染物排放标准DB11/1054-2013,水泥工业大气污染物排放标准,DB11/1054-2013
DB11/1054-2013水泥工业大气污染物排放标准,水泥工业大气污染物排放标准,DB11/1054-2013
《生活垃圾焚烧污染控制标准》（GB18458-2014）,生活垃圾焚烧污染控制标准,GB 18458-2014
生活垃圾焚烧污染控制标准(GB 18485-2014),生活垃圾焚烧污染控制标准,GB 18458-2014
《城市污水再生利用  城市杂用水水质》（GB/T18920-2002),城市污水再生利用 城市杂用水水质,GB/T 18920-2002
生活垃圾焚烧污染控制标准 GB18485-2014,生活垃圾焚烧污染控制标准,GB 18458-2014
电镀污染物排放标准(GB 21900-2008.01),电镀污染物排放标准,GB 21900-2008.01
水泥工业大气污染物排放标准（DB11/ 1054-2013）,水泥工业大气污染物排放标准,DB11/1054-2013
水泥工业大气污染物排放标准（GB 4915-2013）,水泥工业大气污染物排放标准,GB 4915-2013
印刷业挥发性有机物排放标准(DB11/1201-2015 ),印刷业挥发性有机物排放标准,DB11/1201-2015
DB11/139-2015,锅炉大气污染物排放标准,DB11/139-2015
DG11/139-2015,锅炉大气污染物排放标准,DB11/139-2015
GB11/139-2015,锅炉大气污染物排放标准,DB11/139-2015
《固定式燃气轮机大气污染物排放标准》（DB11/847-2011）,固定式燃气轮机大气污染物排放标准,DB11/847-2011
《锅炉大气污染物排放标准》(DB11/139-2015),锅炉大气污染物排放标准,DB11/139-2015
锅炉大气污染物排放标准(DB11 139-2007),锅炉大气污染物排放标准,DB11/139-2007
炼油与石油化学工业大气污染物排放标准DB11,炼油与石油化学工业大气污染物排放标准,DB11/447-2015
炼油与石油化学工业大气污染物排放标准DB11/447--2015,炼油与石油化学工业大气污染物排放标准,DB11/447-2015
